,Ensembl transcript ID,SL with MS evidence
1094,ENST00000582198,c
1095,ENST00000582198,c
1096,ENST00000460874,c
1097,ENST00000354624,c
1098,ENST00000295266,m
1099,ENST00000295266,c
1100,ENST00000265523,c
1101,ENST00000265523,c
1102,ENST00000465559,c
1103,ENST00000383714,c
1104,ENST00000383714,m
1105,ENST00000405481,c
1106,ENST00000405481,c
1107,ENST00000323205,c
1108,ENST00000164139,m
1109,ENST00000164139,m
1110,ENST00000270776,c
1111,ENST00000368547,m
1112,ENST00000368547,m
1113,ENST00000619913,c
1114,ENST00000444334,c
1115,ENST00000444334,c
1116,ENST00000444334,c
1117,ENST00000290573,c
1118,ENST00000392179,m
1119,ENST00000392179,m
1120,ENST00000570646,c
1121,ENST00000621845,c
1122,ENST00000226253,c
1123,ENST00000374832,c
1124,ENST00000528097,c
1125,ENST00000425753,c
1126,ENST00000504028,m
1127,ENST00000549941,c
1128,ENST00000274813,c
1129,ENST00000274813,m
1130,ENST00000613539,c
1131,ENST00000303617,m
1132,ENST00000236959,c
1133,ENST00000236959,c
1134,ENST00000519964,c
1135,ENST00000379806,m
1136,ENST00000323997,c
1137,ENST00000381344,c
1138,ENST00000290429,m
1139,ENST00000216962,c
